,T0,T1
0,0.14195048520411085,0.8580495147958892
1,0.2271786861121233,0.7728213138878767
2,0.018880685096122275,0.9811193149038778
3,0.015034384609002815,0.9849656153909971
4,0.022092201170466966,0.977907798829533
5,0.004020224152892132,0.9959797758471078
6,0.03304296220620594,0.966957037793794
7,0.1167072672735122,0.8832927327264879
8,0.09846284975234408,0.901537150247656
9,0.016246370570395706,0.9837536294296044
10,0.031949130324100794,0.9680508696758992
11,0.027826022145862467,0.9721739778541375
12,0.01002656341664883,0.9899734365833511
13,0.009438390111750048,0.9905616098882499
14,0.062316965457293656,0.9376830345427063
15,0.03130615394135281,0.9686938460586472
16,0.07371072415481882,0.9262892758451812
17,0.033597656010326264,0.9664023439896737
18,0.07192268426001495,0.928077315739985
19,0.05720210199783126,0.9427978980021687
20,0.012360497681788556,0.9876395023182114
21,0.04429337935150526,0.9557066206484948
22,0.2186732505664976,0.7813267494335023
23,0.005674272625055564,0.9943257273749444
24,0.02619805106818943,0.9738019489318107
25,0.06387101766755537,0.9361289823324446
26,0.0037070362515771948,0.9962929637484229
27,0.42423500633165623,0.5757649936683438
28,0.026878967755523186,0.9731210322444768
29,0.21707073741786392,0.782929262582136
30,0.04757175627132872,0.9524282437286713
31,0.022238151072384305,0.9777618489276156
32,0.01875573506418794,0.981244264935812
33,0.024252533803152832,0.9757474661968472
34,0.007114157868685887,0.9928858421313141
35,0.27746243455698866,0.7225375654430114
36,0.0240828623634011,0.9759171376365988
37,0.014467697823343513,0.9855323021766564
38,0.009716006836896487,0.9902839931631036
39,0.03430660446743431,0.9656933955325656
40,0.20672294416960685,0.7932770558303931
41,0.03792722659346741,0.9620727734065326
42,0.006235439775063978,0.993764560224936
43,0.008386741191617237,0.9916132588083828
44,0.059559355691083685,0.9404406443089163
45,0.01636667452018735,0.9836333254798127
46,0.1683586010969116,0.8316413989030884
47,0.8166732992675462,0.18332670073245383
48,0.04919666610069799,0.9508033338993019
49,0.07097211309116752,0.9290278869088324
50,0.14839594340558712,0.8516040565944129
51,0.024439347687142846,0.9755606523128572
52,0.013133217572548924,0.9868667824274511
53,0.13946399011365893,0.8605360098863412
54,0.5658334933282145,0.43416650667178547
55,0.12439156570932898,0.875608434290671
56,0.01144951562941738,0.9885504843705826
57,0.027680552267936767,0.9723194477320632
58,0.0927358334693367,0.9072641665306633
59,0.021688213193000006,0.9783117868069999
60,0.23365174487197915,0.7663482551280208
61,0.028252767956250587,0.9717472320437494
62,0.4481701360747908,0.5518298639252093
63,0.011404779638498203,0.9885952203615017
64,0.1197532180419154,0.8802467819580846
65,0.006992954773413603,0.9930070452265863
66,0.5073884330301446,0.4926115669698554
67,0.02597800411487632,0.9740219958851236
68,0.04244437843276511,0.9575556215672348
69,0.27985449629422976,0.7201455037057704
70,0.1200249060736929,0.879975093926307
71,0.06076435594837615,0.9392356440516239
72,0.03071391119488688,0.9692860888051131
73,0.028501189140760604,0.9714988108592394
74,0.014311364593113982,0.985688635406886
75,0.02597800411487632,0.9740219958851236
76,0.025377741749544963,0.974622258250455
77,0.7494514212782192,0.25054857872178093
78,0.34582451830574534,0.6541754816942545
79,0.03759145709638409,0.9624085429036159
80,0.048766278708338676,0.9512337212916613
81,0.07159365955126501,0.9284063404487349
82,0.06692215738105496,0.933077842618945
83,0.02829877571589969,0.9717012242841004
84,0.02099045629121129,0.9790095437087888
85,0.133891562952885,0.866108437047115
86,0.02099045629121129,0.9790095437087888
87,0.01890974007117815,0.9810902599288218
88,0.03593756557449448,0.9640624344255054
89,0.009202215492312779,0.9907977845076873
90,0.3099523306074046,0.6900476693925954
91,0.006200230479540669,0.9937997695204595
92,0.08919951991780727,0.9108004800821927
93,0.032608335368086785,0.9673916646319133
94,0.02758867439430276,0.9724113256056972
95,0.07771331474610868,0.9222866852538913
96,0.05522375546037072,0.9447762445396294
97,0.022135502966966567,0.9778644970330335
98,0.09984888519750819,0.9001511148024918
99,0.11692773939418286,0.8830722606058171
100,0.04469464537881176,0.9553053546211883
101,0.07937300787250466,0.9206269921274953
102,0.003783970285303769,0.9962160297146962
103,0.04794230478271292,0.952057695217287
104,0.09629267569894134,0.9037073243010586
105,0.022637826272513515,0.9773621737274865
106,0.011920271556195561,0.9880797284438044
107,0.21638551195200628,0.7836144880479937
108,0.07371072415481882,0.9262892758451812
109,0.09606169916968853,0.9039383008303116
110,0.031949130324100794,0.9680508696758992
111,0.4975564001111391,0.5024435998888609
112,0.3136189765115831,0.686381023488417
113,0.010579826185919006,0.9894201738140811
114,0.00890227540959658,0.9910977245904035
115,0.035200415184731375,0.9647995848152686
116,0.1875917150707461,0.8124082849292539
117,0.024598145504069396,0.9754018544959305
118,0.644856002370932,0.35514399762906806
119,0.011666600745654504,0.9883333992543455
120,0.13260161258948402,0.867398387410516
121,0.19200925826858745,0.8079907417314125
122,0.007271786856601653,0.9927282131433983
123,0.16889107674751133,0.8311089232524886
124,0.48304869290398766,0.5169513070960124
125,0.0951394953589629,0.9048605046410372
126,0.007844562999155962,0.9921554370008441
127,0.0067094538927870975,0.9932905461072128
128,0.25438420966347647,0.7456157903365236
129,0.03769147844099251,0.9623085215590075
130,0.2639301532401928,0.7360698467598072
131,0.019611861467854597,0.9803881385321453
132,0.021887368781295234,0.9781126312187047
133,0.08408196760828199,0.915918032391718
134,0.007938234076377176,0.9920617659236228
135,0.010794352321867862,0.9892056476781321
136,0.019023388266499887,0.9809766117335001
137,0.16070080945080825,0.8392991905491917
138,0.009664784122741792,0.9903352158772581
139,0.10952918862748454,0.8904708113725156
