,T0,T1,T2
301,0.5142731916398694,0.0832934999763889,0.40243330838374164
302,0.02826779672504933,0.0039032240768150455,0.9678289791981357
303,0.4661699434759148,0.006243367608302267,0.527586688915783
304,0.59477419948556,0.006535139928425162,0.3986906605860148
305,0.7454163561255268,0.09145363210482586,0.16313001176964723
306,0.15195407266458252,0.25203359160657335,0.5960123357288442
307,0.780656835645725,0.03338719272422982,0.18595597163004526
308,0.7499962046657471,0.005025378213013892,0.244978417121239
309,0.07583532046806774,0.010651341588675327,0.9135133379432571
310,0.1777184032147488,0.008310333778293053,0.8139712630069581
311,0.08596264807456577,0.0017869663455851517,0.912250385579849
312,0.26516623735039196,0.007844403467449926,0.7269893591821581
313,0.8590896027468644,0.13577038902223512,0.00514000823090046
314,0.8702297506238181,0.03939002242665647,0.09038022694952536
315,0.1222519757085208,0.014156411744061927,0.8635916125474173
316,0.6738640845063825,0.1841454355739556,0.1419904799196619
317,0.8113117343016232,0.1150171248316506,0.07367114086672616
318,0.08873032621021569,0.07544011195674925,0.8358295618330351
319,0.9551187653566804,0.030852893179711065,0.014028341463608493
320,0.10801531223154155,0.009258089526280997,0.8827265982421775
321,0.8450813101035122,0.005475110282785752,0.14944357961370208
322,0.533417616948805,0.4465049011294543,0.02007748192174085
323,0.6001694260707644,0.11768622204077521,0.2821443518884604
324,0.9529328320108175,0.04317887614701637,0.0038882918421660946
325,0.013651215890828163,0.012268684185859507,0.9740800999233123
326,0.2287884453650526,0.008218382797257704,0.7629931718376898
327,0.7983889286856526,0.030030391496721622,0.1715806798176258
328,0.003448712356772856,0.006568115556856287,0.9899831720863709
329,0.5076496037910709,0.007130138716539759,0.4852202574923892
330,0.7845590444740135,0.18411693521537562,0.03132402031061085
331,0.5787406056324236,0.004015299853699846,0.4172440945138764
332,0.9080736408876431,0.027072303730278524,0.0648540553820783
333,0.9201641145040343,0.028972350028713015,0.05086353546725271
334,0.9112234057504706,0.0020989651635278674,0.08667762908600159
335,0.3890312033359959,0.10258387851589855,0.5083849181481056
336,0.895487236077879,0.07521429681730576,0.0292984671048152
337,0.48936504968727834,0.001530004238090727,0.5091049460746309
338,0.8545261730617323,0.01637284518644282,0.1291009817518249
339,0.6806648400926671,0.0266478908693334,0.2926872690379994
340,0.8165020480220537,0.013431274205428428,0.17006667777251783
341,0.20609477623896694,0.06855287947641997,0.7253523442846131
342,0.8685228373019168,0.01770227195460723,0.11377489074347591
343,0.8267565207011094,0.014466889864401065,0.15877658943448944
344,0.4766759949179491,0.3338396930560728,0.18948431202597799
345,0.2240071570735156,0.0358743383797741,0.7401185045467104
346,0.048784980323703854,0.022038808018702956,0.9291762116575931
347,0.5474203894587204,0.01532081798570531,0.4372587925555744
348,0.8456536403221889,0.012916222934809235,0.14143013674300178
349,0.02685789813669946,0.038295510261416366,0.9348465916018842
350,0.21712659136131152,0.00745694231323528,0.7754164663254531
351,0.14802201316470354,0.004515391252926433,0.8474625955823701
352,0.8554579676254296,0.005764229108370046,0.1387778032662005
353,0.42689390675474825,0.033689640143316435,0.5394164531019353
