((51.0, 15.0),44.189971248051236)
((20.0, 48.0),88.49463501060046)
((52.0, 38.0),60.717878805531704)
((15.0, 41.0),111.35115611156152)
((12.0, 51.0),19.141202000217454)
((31.0, 48.0),111.82705336150792)
((50.0, 20.0),77.37582060824643)
((15.0, 27.0),150.94152917754272)
((23.0, 2.0),19.533695743332622)
((29.0, 49.0),102.11216976389483)
((20.0, 57.0),5.671114584524766)
((27.0, 52.0),70.60923526250303)
((17.0, 9.0),60.97501696489026)
((32.0, 2.0),26.812473347576997)
((16.0, 21.0),139.87293719370584)
((29.0, 37.0),221.89987924850698)
((20.0, 20.0),165.8560390242299)
((49.0, 34.0),101.5579352550288)
((46.0, 25.0),131.98932357950514)
((8.0, 10.0),9.796859663718784)
((56.0, 41.0),12.198249290695138)
((18.0, 23.0),167.1273848471062)
((55.0, 19.0),27.479024588438072)
((8.0, 27.0),81.47583117400177)
((20.0, 39.0),162.0161384484321)
((10.0, 35.0),94.33704703381937)
((32.0, 8.0),86.5488183083864)
((37.0, 46.0),117.20927714741637)
((11.0, 7.0),9.294713092694735)
((42.0, 12.0),88.5674982613622)
((53.0, 11.0),4.494933753085881)
((15.0, 28.0),152.10333078426342)
((17.0, 47.0),81.3156839648504)
((23.0, 17.0),160.4066497246797)
((51.0, 33.0),84.0631630515383)
((25.0, 28.0),251.05378026544597)
((21.0, 11.0),97.88157020753523)
((37.0, 32.0),222.26654655519965)
((43.0, 20.0),138.45771486382986)
((48.0, 14.0),62.245754043098245)
((7.0, 31.0),71.91981725784999)
((21.0, 30.0),212.2685720839741)
((3.0, 29.0),32.60207066460751)
((22.0, 14.0),129.2104173216941)
((43.0, 14.0),98.09426050768693)
((52.0, 12.0),18.528846144665607)
((8.0, 43.0),42.642728837967816)
((40.0, 35.0),182.2537762543861)
((36.0, 18.0),171.46867914076185)
((44.0, 19.0),124.52024728774127)
((31.0, 19.0),196.9750338393506)
((24.0, 30.0),242.09062474397498)
((43.0, 15.0),105.52397401963027)
((13.0, 23.0),121.41114808876814)
((26.0, 29.0),262.5438892355023)
((43.0, 29.0),167.369372852148)
((26.0, 40.0),185.94769758317696)
((22.0, 16.0),146.77116578858542)
((35.0, 33.0),235.24642640443892)
((39.0, 6.0),49.965945827327545)
((50.0, 40.0),70.51913789284157)
((49.0, 13.0),48.15815439948288)
((4.0, 38.0),28.064609236694196)
((14.0, 54.0),6.4848946482303305)
((16.0, 24.0),153.01133592514753)
((18.0, 41.0),133.7319074542481)
((34.0, 40.0),184.13035852504822)
((48.0, 21.0),99.72004404136577)
((45.0, 20.0),121.67341359389357)
((9.0, 40.0),66.29076898301975)
((47.0, 26.0),124.40155126376744)
((38.0, 55.0),29.334796293084047)
((35.0, 8.0),81.32650077363166)
((51.0, 47.0),22.87425935539364)
((39.0, 50.0),72.54253571727418)
((41.0, 54.0),27.85785376960643)
((30.0, 36.0),232.19983343429334)
((44.0, 31.0),156.28810729062377)
((34.0, 0.0),4.659701076287455)
((32.0, 36.0),228.57644563187563)
((23.0, 7.0),67.75802913923641)
((11.0, 6.0),1.5798820543778902)
((34.0, 54.0),48.612386160238685)
((31.0, 49.0),101.84840427644183)
((33.0, 51.0),79.82163934121367)
((14.0, 19.0),112.31350440595698)
((23.0, 48.0),100.52265362288028)
((46.0, 32.0),135.03768103130412)
((28.0, 45.0),141.2946931425557)
((7.0, 20.0),54.61132400472021)
((27.0, 0.0),6.4692915459918865)
((49.0, 47.0),37.90418813803459)
((42.0, 53.0),32.49564212928288)
((21.0, 50.0),74.61866921198234)
((38.0, 3.0),25.045810440421654)
((19.0, 25.0),184.59914772391085)
((51.0, 26.0),84.95642705942362)
((21.0, 56.0),18.34999287261553)
((8.0, 9.0),3.077677464526616)
((49.0, 9.0),20.707452604341583)
